Function Stack,CPU Time: Total,Percentage (%),CPU Time: Self,Module,Function (Full),Source File,Start Address
Total,16.06,100.00%,0,[Unknown],[Unknown],[Unknown],[Unknown]
\_start,16.06,0.00%,0,omp\_homework\_hotspots\_v2,\_start,[Unknown],0x4011b0
\_\_libc\_start\_main\_impl,16.06,0.00%,0,libc.so.6,\_\_libc\_start\_main\_impl,libc-start.c,0x27280
-- main,16.06,0.00%,0,omp\_homework\_hotspots\_v2,main,omp\_homework\_hotspots\_v2.c,0x4012a0
---\- DFT,8.032,14.21%,2.28223,omp\_homework\_hotspots\_v2,DFT,omp\_homework\_hotspots\_v2.c,0x4016d1
----- \_\_svml\_sincos2,5.74977,1.72%,0.275878,omp\_homework\_hotspots\_v2,\_\_svml\_sincos2,[Unknown],0x403430
----- \_\_svml\_sincos2\_l9,5.47389,34.08%,5.47389,omp\_homework\_hotspots\_v2,\_\_svml\_sincos2\_l9,[Unknown],0x4045e0
---\- DFT,8.028,14.02%,2.25204,omp\_homework\_hotspots\_v2,DFT,omp\_homework\_hotspots\_v2.c,0x401a15
----- \_\_svml\_sincos2,5.77596,1.54%,0.247992,omp\_homework\_hotspots\_v2,\_\_svml\_sincos2,[Unknown],0x403430
----- \_\_svml\_sincos2\_l9,5.52797,34.42%,5.52797,omp\_homework\_hotspots\_v2,\_\_svml\_sincos2\_l9,[Unknown],0x4045e0
