"Function Stack","CPU Time: Total","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"Total","16.06","0","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
" _start","16.06","0","omp_homework_hotspots_v2","_start","[Unknown]","0x4011b0"
"  __libc_start_main_impl","16.06","0","libc.so.6","__libc_start_main_impl","libc-start.c","0x27280"
"   main","16.06","0","omp_homework_hotspots_v2","main","omp_homework_hotspots_v2.c","0x4012a0"
"    DFT","8.032","2.28223","omp_homework_hotspots_v2","DFT","omp_homework_hotspots_v2.c","0x4016d1"
"     __svml_sincos2","5.74977","0.275878","omp_homework_hotspots_v2","__svml_sincos2","[Unknown]","0x403430"
"      __svml_sincos2_l9","5.47389","5.47389","omp_homework_hotspots_v2","__svml_sincos2_l9","[Unknown]","0x4045e0"
"    DFT","8.028","2.25204","omp_homework_hotspots_v2","DFT","omp_homework_hotspots_v2.c","0x401a15"
"     __svml_sincos2","5.77596","0.247992","omp_homework_hotspots_v2","__svml_sincos2","[Unknown]","0x403430"
"      __svml_sincos2_l9","5.52797","5.52797","omp_homework_hotspots_v2","__svml_sincos2_l9","[Unknown]","0x4045e0"
